1,Barcode ,Type
1083,8001090586032,Type3
1084,4015400197546,Type3
1085,8001090604040,Type3
1086,8001090603968,Type3
1087,8001090603883,Type3
1088,8006540005514,Type3
1089,8006540005224,Type3
1090,4015400624363,Type3
1091,8001841062334,Type3
1092,8001841077703,Type3
1093,8001841041391,Type3
1094,8001841041360,Type3
1095,8001090379399,Type3
1096,8001090459169,Type3
1097,8001090379368,Type3
1098,8001090783967,Type3
1099,8001090784445,Type3
1100,8001090804860,Type3
1101,4015500485215,Type3
1102,4015878510007,Type3
1103,4015985452108,Type3
1104,4015400727026,Type3
1105,4015400726999,Type3
1106,8001090414359,Type3
1107,8001841635293,Type3
1108,8001841221076,Type3
1109,8001841221274,Type3
1110,8001090379337,Type3
1111,4015400672906,Type3
1112,4015400674023,Type3
1113,8001090784001,Type3
1114,8001090784513,Type3
1115,8006540069356,Type3
1116,8001841104799,Type3
1117,4015400672869,Type3
1118,4015400649687,Type3
1119,8001090804747,Type3
1120,8001090614346,Type3
1121,8001841104751,Type3
1122,8001090614605,Type3
1123,4015400244769,Type3
1124,8001090459107,Type3
1125,4015400265085,Type3
1126,8001090172471,Type3
1127,4015400264613,Type3
1128,8692190010161,Type3
1129,8692190000643,Type3
1130,8692190009417,Type3
1131,8692190010369,Type3
1132,8692190005303,Type3
1133,8692190005747,Type3
1134,8692190005150,Type3
1135,8692190009714,Type3
1136,8692190009707,Type3
1137,8692190008977,Type3
1138,8692190008984,Type3
1139,4607075790995,Type3
1140,4607075793712,Type3
1141,4607075797970,Type3
1142,8658000281213,Type3
1143,8658000281237,Type3
1144,4600697222875,Type3
1145,4600697222738,Type3
1146,4600697222721,Type3
1147,8656021487058,Type3
1148,8656021487041,Type3
1149,8656021487065,Type3
1150,8656021487072,Type3
1151,9002859079399,Type3
1152,9002859079375,Type3
1153,8656170021035,Type3
1154,8656000039025,Type3
1155,8690530065482,Type3
